ID,A,B,C,D,E,F,G,H
,5.549668912,26.89153096,289831.3634,1411963.888,15.15776941,12.61664229,24.37890358,19.56627512
,5.119456475,8.281827441,96725.66974,68718.61243,7.678629604,8.226978614,5.271436231,6.291402717
,8.091947153,14.80670553,386724.1296,384168.3459,26.50858302,17.94428529,20.31361418,23.63768383
,7.072926876,10.79808933,123067.6143,190678.651,4.241425746,5.419958196,5.909780183,4.311520486
,2.923401151,6.214692238,120539.8679,65269.47986,2.893846568,4.69443231,4.981013648,5.758890039
,0.252051549,5.744796346,22200.1943,150461.8808,1.121391631,1.037998791,6.340668354,5.283675902
,0.340498688,1.298214744,37900.00751,51388.88632,2.257364444,4.248657348,6.520732002,5.975407032
,10.12338377,35.06960767,259826.6936,437728.0228,15.70985205,15.74693841,16.85778235,9.22136376
,3.472732843,7.24338244,169151.9648,180862.892,8.094838971,7.781197169,5.744665502,10.86684226
,9.711976622,15.31713969,269507.0111,337901.812,27.28893025,20.12339753,18.49885722,13.95479882
,3.859982581,3.877849691,274918.9047,157129.0007,7.825880361,16.80304304,8.07316316,21.58224562
,5.897364484,10.58613626,242379.1116,813281.1304,11.65671458,13.96516137,20.80823462,15.6449968
,1.929811843,4.067789736,62839.47599,84769.13029,1.588726631,2.338007454,3.097016873,3.122831879
,7.102335154,10.98619026,348935.3475,149755.8613,10.33484278,15.95665407,9.574058226,9.51358596
,2.060756859,5.590089602,92432.92787,135481.8809,5.131945714,4.979617692,3.632356388,5.088238414
,2.333089665,2.390715846,86740.91049,110350.3213,3.675396948,2.480506858,4.307994636,3.73119818
,5.138260592,5.87113078,153313.5457,159306.6429,8.125960575,8.285619267,8.643275952,7.408316191
,5.305440342,16.77507473,225016.893,486563.0242,14.34729166,21.18410201,13.39307907,19.55947593
,7.210411159,51.14625948,608206.0664,698831.0894,28.81560224,36.17808631,26.60129389,48.42414453
,5.524523114,6.244777552,172500.69,140066.2434,8.349122921,6.189707847,7.553052196,8.227463706
,1.859869639,3.249592161,51233.24328,24824.92938,2.091159281,1.122188624,1.923449029,2.307145936
,1.324672595,1.994673736,52913.17346,125868.5315,2.417220942,1.169894136,1.921487316,1.686538442
,2.785770614,6.210703162,68536.66558,111731.6244,7.10856084,6.455061596,5.720704014,8.248582893
,6.308231177,8.807960218,186063.4452,148637.3421,12.43359693,10.87095133,4.378095499,11.78321691
,7.794610719,29.73656773,350931.8545,617195.5816,23.19733576,16.61444865,22.97287803,22.99736551
,2.739964454,5.702365519,81192.39253,145911.469,4.165267583,3.604352844,7.384230914,3.704992501
,24.6071912,9.808055372,299307.7377,248228.3206,14.78727232,18.30998305,10.95402382,18.05957528
,0.800962171,17.30237363,90347.97461,503780.447,8.405396508,18.34797325,14.20750936,14.63305772
,5.787387675,15.70869732,152493.5393,246415.4049,10.94354355,9.188621595,9.871892866,13.31528325
,3.194866418,10.27871621,136820.8663,185150.4454,8.327477032,8.423524303,7.786074377,6.342431692
,6.486668913,8.322616187,311158.2718,98583.65755,9.548577922,6.574862846,4.574063173,9.827870247
,1.434695657,4.294782622,89104.22721,69234.45025,1.86086274,2.781277277,1.179629803,3.304873875
,19.1619176,10.97206897,438111.1672,392043.572,18.26166441,10.81787256,15.5522033,16.49108983
,15.12541822,17.81796465,365190.4401,222510.2573,11.966768,11.78211801,14.31328786,13.21003982
,17.06977361,20.83217644,678080.2985,527959.2404,30.24265161,41.98492427,31.93453911,36.9178899
,0.872412456,4.308379493,55447.51243,108317.5081,1.939567995,1.574394751,0.981878377,3.052275496
,15.38331894,38.94391261,872297.3585,261319.4259,21.90900535,20.46263872,9.122865663,23.4956889
,2.813334003,5.779757302,41278.84589,99527.15502,5.159085626,2.675984483,4.876226022,2.800052632
,9.266109719,33.95320609,338533.4555,633796.4728,28.73191167,28.6834214,32.68217855,24.00154506
,9.08374523,16.0700579,336374.6557,357337.0033,22.65544148,15.91024878,18.6677528,15.92934828
,3.000291648,7.640968995,143362.5268,201332.6177,8.950849844,10.4434632,9.527144258,17.50669702
,3.009892747,5.034151064,115761.8267,487297.6072,5.566531173,9.242225903,6.919684966,13.40520719
,3.18022532,5.538151788,162791.177,199260.7726,8.515510529,11.35794427,5.166196028,12.97437164
,11.81891546,49.33370949,769980.1053,936327.1188,30.38192419,22.53867315,25.81674919,29.02966647
,3.063369555,6.698499369,227754.4701,10809.90098,3.696661311,4.05047843,2.388061024,7.088594618
,5.576544882,13.88581679,276068.3609,433864.4161,17.35453178,25.41165065,17.32963609,22.08213685
,0.031428384,5.969940446,10611.2376,345981.2512,1.621989273,1.623737897,4.022508629,1.880648359
,20.06468823,58.52536103,818602.6857,1575150.494,64.62978184,54.77506936,51.60758661,50.85108648
,5.489798933,9.379156099,191686.2826,336117.9836,11.0626263,11.04701541,9.804422015,12.3581188
,3.572054878,2.991539459,196327.4805,115112.3612,7.782993384,12.63006725,7.311026781,23.103053
,5.28981615,2.086692833,86166.15311,65266.69173,4.449936701,5.367067831,5.784293783,4.694196437
,9.873859642,11.63915452,149823.1599,203553.5361,13.21614621,6.657574865,7.650174661,6.613349801
,10.45452943,24.36281303,432073.5627,459383.9985,22.82690394,37.7340879,23.35316927,19.74677199
,22.02734326,23.84303707,548499.2481,1558962.886,62.46141786,39.10584,46.08212255,64.39324841
,1.69613774,6.485667751,100732.1975,212746.1144,4.395968507,1.28498152,4.309229566,6.95000411
